1,601,440
2,772,371
3,290,319
4,1060,219
5,613,148
6,429,236
7,338,432
8,969,99
9,133,372
10,145,219
11,269,193
12,922,278
13,1011,307
14,368,156
15,262,396
16,211,195
17,74,187
18,480,152
19,549,174
20,209,388
21,911,344
22,70,97
23,833,305
24,822,221
25,967,204
26,325,232
27,733,432
28,780,152
29,832,167
30,1135,365
31,658,494
32,330,386
33,500,463
34,204,97
35,102,326
36,1056,149
37,492,101
38,614,325
39,121,61
40,528,268
41,272,128
42,414,383
43,242,259
44,760,324
45,149,297
46,699,391
47,933,396
48,164,420
49,991,273
50,554,310
51,552,374
52,726,137
53,915,119
54,300,141
55,625,108
56,1024,343
57,562,75
58,712,243
59,106,106
60,656,177
61,852,125
62,840,262
63,843,429
64,222,307
65,1114,323
66,593,236
67,385,100
68,504,338
69,881,169
70,460,431
71,492,222
72,970,359
73,1046,382
74,422,76
75,1033,102
76,1103,171
77,224,140
78,427,118
79,706,443
80,651,421
81,349,132
