1,607,380
2,780,344
3,300,264
4,1058,181
5,606,128
6,422,172
7,328,404
8,976,63
9,136,344
10,135,179
11,271,163
12,913,233
13,1016,276
14,375,129
15,261,377
16,207,162
17,76,157
18,475,127
19,546,124
20,204,337
21,900,316
22,84,44
23,821,286
24,821,197
25,954,142
26,325,202
27,733,401
28,798,115
29,832,147
30,1142,341
31,663,455
32,328,334
33,508,436
34,197,82
35,88,284
36,1062,99
37,488,55
38,623,272
39,124,31
40,521,228
41,277,105
42,418,304
43,242,220
44,757,281
45,141,256
46,696,330
47,936,373
48,149,384
49,984,245
50,552,272
51,552,332
52,717,112
53,923,97
54,303,112
55,632,79
56,1013,325
57,562,46
58,719,199
59,108,83
60,669,139
61,847,109
62,842,231
63,830,388
64,218,287
65,1115,247
66,581,199
67,381,83
68,507,299
69,883,150
70,462,399
71,500,188
72,966,325
73,1037,364
74,420,58
75,1037,62
76,1103,159
77,229,135
78,432,89
79,700,430
80,646,396
81,344,114
